comp_id,comp_nm,city_sec_tag,city_fst_tag
709,总部,未知,未知
712,珠海分公司,珠海,珠海
713,长沙分公司,长沙,长沙
714,张家港分公司,张家港,苏州
715,西安分公司,西安,西安
716,汉口分公司,汉口,武汉
717,武汉分公司,武汉,武汉
718,吴江分公司,吴江,苏州
719,无锡分公司,无锡,无锡
720,天津分公司,天津,天津
721,台州分公司,台州,台州
722,苏州新区分公司,新区,苏州
723,苏州分公司,苏州,苏州
724,沈阳分公司,沈阳,沈阳
725,深圳分公司,深圳,深圳
726,绍兴分公司,绍兴,绍兴
727,徐汇分公司,徐汇,上海
728,上海分公司,上海,上海
729,长宁分公司,长宁,上海
730,杨浦分公司,杨浦,上海
731,山西分公司,山西,山西
732,厦门分公司,厦门,厦门
733,青岛分公司,青岛,青岛
734,余姚分公司,余姚,宁波
735,宁波中山分公司,中山,宁波
736,慈溪分公司,慈溪,宁波
737,宁波北仑分公司,北仑,宁波
738,宁波分公司,宁波,宁波
739,南通分公司,南通,南通
740,南京奥体分公司,奥体,南京
741,南京分公司,南京,南京
742,南昌分公司,南昌,南昌
743,昆山分公司,昆山,昆山
744,昆明分公司,昆明,昆明
745,江阴分公司,江阴,江阴
746,合肥分公司,合肥,合肥
747,萧山分公司,萧山,杭州
748,浙江分公司,浙江,浙江
749,杭州城西分公司,城西,杭州
750,杭州分公司,杭州,杭州
751,广州分公司,广州,广州
752,福州分公司,福州,福州
753,东莞分公司,东莞,东莞
754,大连分公司,大连,大连
755,成都分公司,成都,成都
756,常州分公司,常州,常州
757,北京投资管理分公司,北京,北京
758,湖州分公司,湖州,湖州
759,北京第二分公司,北京,北京
760,上海周浦分公司,周浦,上海
761,上海宝山分公司,宝山,上海
762,成都第二分公司,成都,成都
763,青岛第二分公司,青岛,青岛
764,温州分公司,温州,温州
765,扬州分公司,扬州,扬州
766,佛山南海分公司,南海,佛山
767,海口分公司,海口,海口
768,义乌分公司,义乌,金华
769,泉州分公司,泉州,泉州
770,厦门第二分公司,厦门,厦门
771,深圳第二分公司,深圳,深圳
772,舟山分公司,舟山,舟山
773,象山分公司,象山,宁波
774,广州第二分公司,广州,广州
775,太仓分公司,太仓,苏州
776,上海第二分公司,上海,上海
777,顺德分公司,顺德,佛山
778,金华分公司,金华,金华
779,青岛第三分公司,青岛,青岛
780,泰州分公司,泰州,泰州
781,南京第二分公司,南京,南京
782,海曙分公司,海曙,宁波
783,广州第三分公司,广州,广州
784,武汉第二分公司,武汉,武汉
785,山西第二分公司,山西,山西
786,南通第二分公司,南通,南通
787,香港办公室,香港,香港
1435,花都分公司,花都,广州
1438,员工存款虚拟分公司,未知,未知
1439,家族财富办公室,未知,未知
1440,福州第二分公司,福州,福州
1441,直销中心,未知,未知
1442,成都第三分公司,成都,成都
1443,珠江新城分公司,珠江,广州
1447,鄞州分公司,鄞州,宁波
1449,杨浦第二分公司,杨浦,上海
1458,苏州园区分公司,苏州,苏州
1501,上城分公司,上城,杭州
1502,杭州上城分公司,上城,杭州
1512,杭州拱墅分公司,拱墅,杭州
1521,苏州第二分公司,苏州,苏州
1524,苏州第三分公司,苏州,苏州
1533,番禺分公司,番禺,广州
1542,温岭分公司,温岭,台州
1545,嘉兴海宁分公司,海宁,嘉兴
1554,郑州分公司,郑州,郑州
1556,厦门第三分公司,厦门,厦门
1558,福州台江分公司,台江,福州
1564,海银财富管理有限公司福州第二分公司,福州,福州
1566,海银长汇管理天津分公司,天津,天津
1568,北京朝阳分公司,北京,北京
1569,海银长汇天津分公司,天津,天津
1570,北京第三分公司,北京,北京
1592,盐城大丰分公司,盐城,盐城
1603,杭州拱墅第二分公司,拱墅,杭州
1626,漳州分公司,漳州,漳州
1631,青岛第二分公司,青岛,青岛
1636,杭州上城第二分公司,上城,杭州
1653,长汇财富管理有限公司,北京,北京
1664,珠江新城第二分公司,珠江,广州
1670,沈阳第二分公司,沈阳,沈阳
1678,长宁第二分公司,长宁,上海
1689,常熟分公司,常熟,常熟
1698,赣州分公司,赣州,赣州
1699,山西第三分公司,山西,山西
1700,天津滨海分公司,滨海,天津
1701,杨浦第三分公司,杨浦,上海
1714,宜兴分公司,宜兴,宜兴
1717,杭州湾分公司,杭州湾,杭州
1718,慈溪第二分公司,慈溪,宁波
1720,徐汇第二分公司,徐汇,上海
1730,溪西分公司,溪西,金华
1751,杭州第二分公司,杭州,杭州
1752,浦东联洋分公司,浦东,上海
1778,武汉第三分公司,武汉,武汉
1779,汉口第二分公司,汉口,武汉
1786,宁波新世纪分公司,宁波,宁波
1787,深圳第三分公司,深圳,深圳
1788,深圳第四分公司,深圳,深圳
1789,海口第二分公司,海口,海口
1796,西安第二分公司,西安,西安
1821,杭州湾,杭州湾,杭州
1832,杭州城西第二分公司,城西,杭州
1834,天津第二分公司,天津,天津
1835,深圳第五分公司,深圳,深圳
1836,深圳第六分公司,深圳,深圳
1837,珠江新城第三分公司,珠江,广州
1838,广州天河分公司,广州,广州
1839,上海宝山第二分公司,宝山,上海
1840,南京第三分公司,南京,南京
1841,郑州第二分公司,郑州,郑州
1842,温州乐清分公司,乐清,温州
1843,江北分公司,江北,宁波
1844,永康分公司,永康,永康
1845,长宁第三分公司,长宁,上海
1846,上海第三分公司,上海,上海
1847,上海杨浦第三分公司,杨浦,上海
1848,杭州余杭分公司,余杭,杭州
1849,吴江第二分公司,苏州,苏州
1850,苏州园区第二分公司,苏州,苏州
1851,昆山第二分公司,昆山,昆山
1852,无锡第二分公司,无锡,无锡
1853,镇江分公司,镇江,镇江
1854,靖江分公司,靖江,泰州
1855,山西第四分公司,山西,山西
1856,哈尔滨分公司,哈尔滨,哈尔滨
1857,长春分公司,长春,长春
1858,长沙第二分公司,长沙,长沙
1859,大连第二分公司,大连,大连
1890,无锡第三分公司,无锡,无锡
1898,山西忻州分公司,忻州,山西
1905,广州第四分公司,广州,广州
1912,浙江第二分公司,浙江,浙江
1917,重庆分公司,重庆,重庆
1921,杭州西湖分公司,西湖,杭州
1922,杭州黄龙分公司,黄龙,杭州
1923,嘉兴桐乡分公司,桐乡,嘉兴
1936,苏州第五分公司,苏州,苏州
1943,苏州第六分公司,苏州,苏州
1947,慈溪观城分公司,慈溪,宁波
1948,花都豪利分公司,花都,广州
1949,宁波海银投资管理有限公司,宁波,宁波
1950,三亚分公司,三亚,三亚
1951,石家庄分公司,石家庄,石家庄
1959,兰州分公司,兰州,兰州
1965,厦门第四分公司,厦门,厦门
1973,宁夏银川分公司,银川,银川
1975,贵阳分公司,贵阳,贵阳
1976,泉州第二分公司,泉州,泉州
1977,泉州晋江分公司,晋江,泉州
1978,广西南宁分公司,南宁,南宁
1996,南通第三分公司,南通,南通
2008,义乌第二分公司,义乌,义乌
2009,金华浦江分公司,浦江,金华
2010,北京第五分公司,北京,北京
2014,徐汇第四分公司,徐汇,上海
2015,上海第四分公司,上海,上海
2018,徐汇第三分公司,徐汇,上海
2025,苏州第七分公司,苏州,苏州
2050,昆明第二分公司,昆明,昆明
2089,温州瑞安分公司,瑞安,温州
2097,深圳南山分公司,深圳,深圳
2227,贵州贵阳分公司,贵阳,贵阳
2398,天津第三分公司,天津,天津
2412,嘉兴分公司,嘉兴,嘉兴
2424,广州天河分公司,天河,广州
2432,嘉兴海盐分公司,海盐,嘉兴
2449,珠海第二分公司,珠海,珠海
2454,山西第五分公司,山西,山西
2461,泰州分公司,泰州,泰州
2473,宁夏银川第二分公司,银川,银川
2477,靖江分公司,靖江,泰州
2488,盐城分公司,盐城,盐城
